,Star_name,Distance,Mass,Radius,Gravity
91,2MASS J03205965+1854233,47.0,0.084003744,0.11817745,1649.7053854867902
92,2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.9336226190817
93,SDSS J032553.17+042540.1,59.0,0.04295646,0.09762485,1236.1885136462174
94,2MASS J03264225-2102057 [de],80.0,0.017182584,0.13359189999999999,264.0615700747245
95,2MASS J03284265+2302051 [de],98.0,0.051547752,0.10070774,1393.9943359838126
96,2MASS J03341218-4953322,27.0,0.06968492400000001,0.10687352,1673.3068242582376
97,LP 944-20,20.9,0.06968492400000001,0.14695108999999998,885.0548491944402
98,2MASP J0345432+254023,88.0,0.070639512,0.10790115,1664.073567827919
99,Teide 1,380.0,0.05250234,0.38844414,95.4329811379458
100,2MASS J03510004-0052452,48.0,0.097367976,0.13050900999999998,1567.8775101260337
101,2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.57813834448314
102,2MASS J04151954−0935066,18.6,0.02863764,0.09762485,824.1256757641451
103,2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1669.384557701969
104,2MASS J04351612-1606574,34.0,0.0954588,0.12948137999999998,1561.6306004391145
105,2MASS J04362788-4114465,142.0,0.037228932,0.20244311,249.14464404913375
106,2MASS J04390101-2353083 [de],29.5,0.045820224000000014,0.09968011,1264.7863490311681
107,2MASS J04433764+0002040,82.0,0.021000936,0.18291814,172.14803783504922
108,2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,1586.716634404567
109,2MASS J04510093-3402150 [de],69.0,0.0009927715199999998,7.398935999999999,0.004973793462398576
110,2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,1586.716634404567
111,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999994,273.38867657214814
112,2MASS J05160945-0445499 [de],73.0,0.044865635999999987,0.09968011,1238.4366334263514
113,2MASS J0523−1403,40.0,0.064911984,0.10379063,1652.6678012497337
114,SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1482.5402334740256
115,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998,349.17183620139764
116,2MASS J06085283-2753583,102.0,0.036274344,0.15517213,413.18933453695536
117,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173537,1416.5667330925376
118,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1628.363862996061
119,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115,1686.5610484742426
120,2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1682.5866846122526
121,UGPS J072227.51-054031.2,13.4,0.024819288,0.10070774,671.1824580662799
122,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999996,1150.3964960563906
